model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.16752900183200836,0.376443088054657,0.3422541825566441,10.5,0.3295702338218689,0.3899858891963959,0,0.16752900183200836,0,0,10.5,0.3422541825566441
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.6552539691329002,0.1731320172548294,0.10623671114444733,4.0,0.2741658613085747,0.37258705496788025,0,-0.6552539691329002,0,0,4.0,0.10623671114444733
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.280559279024601,0.07266776263713837,0.21800601488212124,9.125,0.04053494334220886,0.1978856772184372,0,-0.280559279024601,0,0,9.125,0.21800601488212124
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.37053967267274857,0.5941615104675293,0.5054747307440266,8.75,0.21298322081565857,0.2562866806983948,0,0.37053967267274857,0,0,8.75,0.5054747307440266
Qwen2.5-7B-Instruct,0,medqa,,0,1,-0.17972670122981071,0.03188437968492508,0.35137702638166957,10.625,0.10346548818051815,0.16130496561527252,0,-0.17972670122981071,0,0,10.625,0.35137702638166957
Qwen2.5-7B-Instruct,0,medqa,,0,1,-0.488543763756752,-0.3882465064525604,0.5121539384126663,2.0,0.3686683475971222,0.46625933051109314,0,-0.488543763756752,0,0,2.0,0.5121539384126663
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.4076474457979202,0.43171557784080505,0.4421405494213104,1.5,0.36150161921977997,0.39305225014686584,0,0.4076474457979202,0,0,1.5,0.4421405494213104
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.24857327342033386,0.35395288467407227,0.304279163479805,2.75,0.2578153982758522,0.3217158615589142,0,0.24857327342033386,0,0,2.75,0.304279163479805
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.01004859758540988,0.012510205619037151,0.4424825655296445,10.5,0.19467508047819138,0.2365129292011261,0,0.01004859758540988,0,0,10.5,0.4424825655296445
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.2831130027770996,-0.2796938419342041,0.2946402064990252,10.0,0.12057141214609146,0.21405689418315887,0,-0.2831130027770996,0,0,10.0,0.2946402064990252
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.1268788892775774,-0.046422142535448074,0.24130285996943712,6.75,0.17538367956876755,0.2541309595108032,0,-0.1268788892775774,0,0,6.75,0.24130285996943712
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.21229206584393978,0.3867247700691223,0.24102701991796494,3.0,0.20458241924643517,0.3537481129169464,0,0.21229206584393978,0,0,3.0,0.24102701991796494
