model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Llama-3.1-8B-Instruct,0,medqa,,0,1,-0.19917239248752594,0.17363783717155457,0.8041313886642456,0.625,-0.016528457403182983,0.043030813336372375,0,-0.19917239248752594
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.0016396194696426392,0.40696290135383606,0.05265736975707114,5.0,0.05299368128180504,0.14338843524456024,0,0.0016396194696426392
Llama-3.1-8B-Instruct,0,medqa,,0,1,-0.13389921188354492,0.38178032636642456,0.5728305703960359,1.0,0.09133857674896717,0.12917879223823547,0,-0.13389921188354492
Llama-3.1-8B-Instruct,0,medqa,,0,1,-0.10204333066940308,0.26506680250167847,0.450995204038918,0.125,0.0890648765489459,0.19294993579387665,0,-0.10204333066940308
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.24766208231449127,0.2504119575023651,0.5903350878506899,0.625,0.09692242369055748,0.10005422681570053,0,-0.24766208231449127
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.14007769525051117,0.28941377997398376,0.2710519637912512,6.625,0.21412857621908188,0.23756402730941772,0,-0.14007769525051117
Llama-3.1-8B-Instruct,0,medqa,,0,1,-0.10041353106498718,0.36630892753601074,0.468975767493248,0.75,0.09527452662587166,0.1533292829990387,0,-0.10041353106498718
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.00021319175139069557,0.3054417073726654,1.0054476758465172,6.125,0.008802016451954841,0.21767690777778625,0,0.00021319175139069557
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.19338653981685638,0.30717942118644714,0.15449470654129982,5.0,0.15214020013809204,0.17019395530223846,0,-0.19338653981685638
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.2317105457186699,0.2093239575624466,0.17870641499757767,4.25,0.1878846064209938,0.20800594985485077,0,-0.2317105457186699
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.15102320536971092,0.13562901318073273,1.1935989459355671,2.625,-0.00815072717765967,0.04195323586463928,0,-0.15102320536971092
Llama-3.1-8B-Instruct,0,medqa,,0,1,-0.3114571273326874,0.08607852458953857,0.7040825160220265,0.25,0.08723868802189827,0.15726238489151,0,-0.3114571273326874
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.3748620692640543,-0.008294928818941116,0.5017057554796338,1.0,0.09404143318533897,0.16707763075828552,0,-0.3748620692640543
